Federate,Localize,Target
"[0.945222, 0.65995914, 2.0085623, -1.9653695, -2.0310752, 0.5110586]","[-0.6910724, -0.77748233, 1.6556106, -0.87664586, 1.7264808, -0.8746885]",0
"[-0.91403097, -0.7986931, -0.66367865, 1.1715839, 1.3372159, 0.86407244]","[-0.017060438, -0.058949575, 0.06977965, -0.07084837, 0.06833777, -0.066454336]",0
"[-1.1406313, -0.5604559, -0.6404072, 0.7498927, 1.6043038, 0.904998]","[-1.3109282, -0.47225112, -0.40114695, 0.9257889, -0.3939773, 1.8801162]",0
"[0.42193717, 0.7006678, 2.378994, -1.6136621, -2.1631656, 0.5418582]","[-0.6882248, -0.77444667, 1.508983, -0.87324154, 1.8568441, -0.8712739]",0
"[0.7833271, 0.6016802, 1.879569, -2.03073, -2.053094, 0.7856206]","[-0.017060438, -0.058949575, 0.06977965, -0.07084837, 0.06833777, -0.066454336]",0
"[0.10108589, 0.39975056, 2.145168, -2.8827972, 0.49899662, 0.3141886]","[-0.6910726, -0.77748257, 1.6556298, -0.87664616, 1.7264628, -0.8746888]",0
"[0.5890088, 0.8573595, 1.7316191, -0.9616368, -2.7947676, 0.66040885]","[-0.017060438, -0.058949575, 0.06977965, -0.07084837, 0.06833777, -0.066454336]",0
"[-1.3530434, -0.61916745, -0.007122216, 0.39386848, 1.4201257, 1.0484008]","[-0.017060438, -0.058949575, 0.06977965, -0.07084837, 0.06833777, -0.066454336]",1
"[-0.8446683, -0.4925267, 1.3983655, -1.3077825, 1.9878521, 0.41376558]","[-0.44345203, -0.5135058, -0.44815361, -0.5806098, -0.4401244, 2.4900603]",0
"[-1.1189789, -0.17522727, 0.12147069, -0.31732926, -0.3112826, 1.8070656]","[-0.6900954, -0.77644086, 1.8245049, -0.8754779, 1.5560154, -0.87351704]",0
"[-1.2043313, -0.64870054, -0.33739817, 0.7743748, 1.5903374, 0.8492743]","[-1.3109251, -0.47225294, -0.401149, 0.92579114, -0.39397934, 1.8801166]",0
"[1.2027644, 0.74551606, 1.5282905, -2.2928917, 0.23101091, -0.55846846]","[-0.6910726, -0.77748257, 1.6556338, -0.87664616, 1.726459, -0.8746888]",0
"[0.568169, 0.48187935, 1.9596198, -1.934911, -2.0480149, 0.9330406]","[-0.6910725, -0.7774825, 1.6556289, -0.8766461, 1.7264636, -0.87468874]",0
"[0.19851394, 0.037355695, 2.4299943, -1.122689, -2.133903, 0.90186137]","[-0.6910725, -0.77748245, 1.6556225, -0.876646, 1.7264698, -0.8746887]",0
"[-1.1889809, -0.8161929, 0.2616978, 1.3820093, 1.2959741, 0.48855275]","[-0.44345585, -0.51350987, -0.44815823, -0.5806143, 2.6106718, -0.5777618]",0
"[-0.89037, -0.39647242, -1.1117556, 0.80022687, 1.8918575, 0.6709242]","[-1.3109285, -0.47225088, -0.40114668, 0.92578864, -0.39397705, 1.8801162]",0
"[-0.99024034, -0.4596115, -0.5848232, -0.08838641, 2.089989, 0.8620473]","[-1.310934, -0.4722476, -0.40114295, 0.92578495, -0.39397338, 1.8801154]",0
"[-0.7921527, -0.1914425, -1.188912, 0.68869454, 2.1634152, 0.39566454]","[-0.6697245, -0.7547244, -0.7230044, 0.9943597, -0.70994914, 1.995657]",1
"[0.9953698, 0.54202694, 2.098934, -1.553043, -2.2504313, 0.42183283]","[-0.6910725, -0.77748245, 1.6556289, -0.876646, 1.7264634, -0.8746887]",0
"[-1.1594919, -0.5140108, 0.5683205, 0.14107826, -0.39204732, 1.6572067]","[-0.6910725, -0.77748245, 1.6556262, -0.876646, 1.7264664, -0.8746887]",0
"[0.07683755, -0.31397825, 1.4874878, -2.3761516, -0.27731186, 1.3886573]","[-0.6910725, -0.7774825, 1.6556315, -0.8766461, 1.7264609, -0.87468874]",0
"[0.8179979, 0.26718757, 2.3073885, -2.6586013, -0.427542, 0.21389337]","[-0.90923864, 0.27847135, 1.8695407, -1.1374689, 1.1157581, -1.1363003]",0
"[1.1714637, 0.6411216, 1.0832428, -1.6174371, 0.8208852, -0.89802814]","[-1.3109242, -0.4722534, -0.40114957, 0.9257916, -0.39397988, 1.8801166]",0
"[0.8069891, 0.6605706, 1.8294826, -0.78807676, -2.7951427, 0.5115213]","[-0.031619545, -0.07447036, 1.1697726, -1.3007419, 1.7511536, -1.5760536]",0
"[0.8716821, 0.5859733, 2.174253, -1.6504277, -2.1929502, 0.45508203]","[-0.6910726, -0.77748257, 1.655634, -0.87664616, 1.7264588, -0.8746888]",0
